Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7  ,Feat8,Feat9,Turbvalue
0.26087,0.00084734,0.19531,0.42604,0.42458,0.23616,0.43675,0.019315,0.23299,0.02
0.1087,0.0032545,0.42188,0.62722,0.32402,0.10388,0.44756,0.007352,0.1027,0.4
0.086957,0.0010021,0.42969,0.60355,0.26257,0.083615,0.45759,0.016399,0.082539,0.4
0.30435,0.0031855,0.15625,0.37278,0.6257,0.27984,0.45428,0.0041055,0.27613,0.02
0.15217,0.002889,0.48438,0.76331,0.18436,0.12868,0.40441,0.012384,0.1269,0.2
0.17391,0.0025632,0.4375,0.7929,0.17877,0.15706,0.40537,0.015424,0.15502,0.2
0.043478,0.0016746,0.33594,0.4142,0.083799,0.032863,0.46564,0.012169,0.032317,0.4
0.28261,0.00079767,0.17969,0.38462,0.43575,0.23451,0.37033,0.020914,0.23133,0.02
0.1087,0.0069767,0.33594,0.50888,0.43575,0.11288,0.45383,0.0046983,0.11119,0.4
0.086957,0.0037186,0.32813,0.48521,0.51955,0.096945,0.44824,0.0080464,0.095476,0.4
0.34783,0.0030136,0.10156,0.28402,0.73743,0.29295,0.38919,0.012358,0.28909,0.02
0.065217,0.0037048,0.33594,0.40237,0.45251,0.031077,0.43122,0.0053402,0.030856,1
0.28261,0.0018917,0.26563,0.57988,0.30726,0.24021,0.42909,0.018241,0.23702,0.04
0,0.0047108,0.26563,0.30769,0.37989,0.01633,0.4037,0.023784,0.016385,1
0.26087,0.00054962,0.35156,0.71006,0.50838,0.21684,0.4264,0.014831,0.21392,0.04
0.32609,0.015751,0.046875,0.11834,0.75978,0.28954,0.56531,0.042326,0.2856,0.0002
0.3913,0.0018088,0.0625,0.21893,0.86592,0.33366,0.31885,0.040212,0.32918,0.0002
0.21739,0.00028846,0.29688,0.53846,0.59777,0.18005,0.39958,0.032772,0.17763,0.04
0.28261,0.00094126,0.20313,0.45562,0.58101,0.25052,0.42887,0.016338,0.24712,0.02
0.47826,0,0.015625,0.11243,0.73743,0.4119,0.48983,0,0.40636,0.0002
0.086957,0.0022792,0.39844,0.55621,0.26816,0.084611,0.43026,0.0094214,0.083329,1
0.41304,0.0060973,0.039063,0.18935,0.65922,0.34095,0.41663,0.0076628,0.33628,0.0002
0.17391,0.00046747,0.47656,0.76331,0.36872,0.14515,0.45289,0.0075688,0.14322,0.2
0.1087,0.001551,0.4375,0.59763,0.31285,0.1049,0.46957,0.0095097,0.10348,0.2
0.34783,0.02555,0.023438,0.071006,0.70391,0.3521,0.4548,0.012981,0.34792,0.0002
0.21739,0.0010701,0.21094,0.38462,0.34078,0.18964,0.49116,0.02021,0.18712,0.02
0.19565,0.00058963,0.28906,0.49704,0.4581,0.16598,0.51738,0.03706,0.16375,0.04
0.1087,0.0010288,0.42969,0.61538,0.27933,0.096522,0.4453,0.010527,0.095221,0.2
0.23913,0.00073994,0.33594,0.68639,0.39665,0.21313,0.42752,0.0087064,0.21027,0.04
0.28261,0.0021854,0.085938,0.2071,0.84916,0.25847,0.46233,0.021928,0.25499,0.0002
0.30435,0.001492,0.19531,0.47337,0.5419,0.26043,0.44002,0.013044,0.25692,0.02
0.26087,0.00092591,0.35156,0.71006,0.85475,0.22083,0.52878,0.037722,0.21788,0.04
0.043478,0.0080369,0.42969,0.60947,0.30168,0.08105,0.42899,0.0051649,0.079295,0.4
0.30435,0.0022265,0.10156,0.30178,0.69832,0.2648,0.47574,0.011395,0.26124,0.02
0.28261,0.00037517,0.19531,0.45562,0.43575,0.24106,0.40438,0.018787,0.23781,0.02
0.086957,0.0056712,0.46875,0.66272,0.45251,0.063131,0.3918,0.01135,0.062479,1
0.26087,0.001938,0.28906,0.6568,0.15084,0.2339,0.45924,0.0074519,0.2308,0.04
0.26087,0.00068995,0.28906,0.62722,0.43575,0.23111,0.43258,0.014511,0.22801,0.04
0.32609,0.011012,0.046875,0.11834,0.60335,0.26147,0.41627,0.024142,0.25805,0.0002
0.1087,0.0012598,0.38281,0.56805,0.73743,0.10141,0.40633,0.012274,0.10006,1
0.19565,0.0009193,0.3125,0.54438,0.53073,0.16919,0.41703,0.026074,0.16693,0.04
0.52174,0.015757,0.0078125,0.11834,0.77654,0.4405,0.29851,0.052602,0.43477,0.0002
0.13043,0.00067336,0.5,0.91124,0.36313,0.11737,0.41977,0.016443,0.11579,0.2
0.15217,0.00051607,0.38281,0.59172,0.68715,0.12335,0.44585,0.018465,0.12171,1
0.065217,0.0049939,0.36719,0.47929,0.24022,0.028016,0.4191,0.0067986,0.027463,1
0.1087,0.0026725,0.5,0.71006,0.48045,0.078769,0.36971,0.023569,0.0777,1
0.30435,0.003686,0.125,0.3432,0.68156,0.27903,0.42827,0.0046463,0.27532,0.02
0.95652,1,0.99609,0,0.42458,1,0.53731,0.032256,1,0.0002
0.1087,0.0005172,0.46094,0.6568,0.34078,0.08939,0.48601,0.020518,0.088198,0.2
0.28261,0.0011281,0.19531,0.45562,0.65363,0.25031,0.43157,0.01271,0.24695,0.02
0.23913,0.0010934,0.33594,0.68639,0.34637,0.2174,0.45428,0.013251,0.21447,0.04
0.065217,0.0015701,0.36719,0.49112,0.31844,0.058299,0.42927,0.0084157,0.057556,0.4
0.21739,0.0014762,0.28125,0.51479,0.21229,0.18211,0.42568,0.0071535,0.17965,0.04
0.19565,0.00092054,0.29688,0.53846,0.3743,0.17692,0.44034,0.0095607,0.17457,0.04
0.13043,0.00345,0.41406,0.65089,0.32961,0.1306,0.44882,0.0098925,0.12915,0.4
0.34783,0.0043991,0.046875,0.13018,0.67039,0.29483,0.63714,0.12627,0.29086,0.0002
0.26087,0.00083869,0.21094,0.42604,0.50838,0.21489,0.37467,0.01928,0.21204,0.02
0.26087,0.0004856,0.32031,0.64497,0.43017,0.22624,0.45381,0.010161,0.22321,0.04
0.30435,0.0038345,0.15625,0.37278,0.3743,0.28168,0.46547,0.0080886,0.27796,0.02
0.45652,0.23544,0.015625,0.11243,0.81285,0.46885,0.55325,0.04322,0.45776,0.0002
0.34783,0.0049281,0.078125,0.21302,0.68156,0.2826,0.39084,0.012761,0.27897,0.0002
0,0.0029515,0.35938,0.42604,0.34637,0.0075517,0.45452,0.0065182,0.0075764,1
